用户通过Telnet/ssh访问设备,通知类告警无需关注
特征库升级失败,通知类告警无需关注
配置变更告警,通知类告警无需关注
管理员注销成功,通知类告警无需关注
管理员登录成功,通知类告警无需关注
用户登陆失败,通知类告警无需关注
虚机内存占用率过高,内存利用率瞬时越线，告警已恢复，无业务影响
转发面端口DOWN,已知问题，对业务无影响，无需关注
环境参数越限告警,设备性能参数和巡检参数不一致，误告警，无需关注
管理员登录失败,通知类告警无需关注
用户登录,通知类告警无需关注
无告警，不涉及,无告警，不涉及
